Event,Start Date,Start Time,End Date,End Time,Location,Category,Description
Baseball at  Washington,2/25/18,12:05 PM,2/25/18,3:05 PM,"Seattle, WA",Baseball,"Baseball at  Washington Seattle, WA"
Softball vs  New Mexico,2/25/18,2:00 PM,2/25/18,5:00 PM,"Riverside, CA",Softball,"Softball vs  New Mexico Riverside, CA"
Men's Tennis at  Air Force Academy,2/25/18,9:00 AM,2/25/18,5:00 PM,"Colorado Springs, CO",Men's Tennis,"Men's Tennis at  Air Force Academy Colorado Springs, CO"
Men's Tennis at  Colorado State- Pueblo,2/25/18,2:30 PM,2/25/18,5:30 PM,"Pueblo, CO",Men's Tennis,"Men's Tennis at  Colorado State- Pueblo Pueblo, CO"
Softball vs  Saint John's,2/27/18,11:00 AM,2/27/18,2:00 PM,,Softball,Softball vs  Saint John's 
Softball vs  Saint John's,2/27/18,1:30 PM,2/27/18,4:30 PM,,Softball,Softball vs  Saint John's 
Baseball vs  UNLV,2/27/18,3:00 PM,2/27/18,6:00 PM,"Riverside, CA",Baseball,"Baseball vs  UNLV Riverside, CA"
Men's Basketball vs  Cal Poly,3/1/18,7:00 PM,3/1/18,10:00 PM,,Men's Basketball,Men's Basketball vs  Cal Poly 
Women's Basketball at  Long Beach State,3/1/18,7:00 PM,3/1/18,10:00 PM,"Long Beach, CA",Women's Basketball,"Women's Basketball at  Long Beach State Long Beach, CA"
Softball vs  Saint Mary's,3/2/18,2:00 PM,3/2/18,5:00 PM,"Riverside, CA",Softball,"Softball vs  Saint Mary's Riverside, CA"
Women's Track and Field  RCC/Cal State Fullerton,3/3/18,11:00 AM,3/3/18,2:00 PM,"Riverside, CA",Women's Track and Field,"Women's Track and Field  RCC/Cal State Fullerton Riverside, CA"
Men's Track and Field  RCC/Cal State Fullerton,3/3/18,11:00 AM,3/3/18,2:00 PM,"Riverside, CA",Men's Track and Field,"Men's Track and Field  RCC/Cal State Fullerton Riverside, CA"
Softball vs  Stony Brook,3/3/18,2:00 PM,3/3/18,5:00 PM,"Riverside, CA",Softball,"Softball vs  Stony Brook Riverside, CA"
Baseball vs  San Francisco,3/3/18,2:00 PM,3/3/18,5:00 PM,"Riverside, CA",Baseball,"Baseball vs  San Francisco Riverside, CA"
